;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 1.782   0.17982   0.00539  180.
 1.784   0.17941   0.00538  180.
 1.786   0.17908   0.00537  180.
 1.788   0.17873   0.00536  180.
 1.790   0.17831   0.00535  180.
 1.792   0.17779   0.00533  180.
 1.794   0.17721   0.00532  180.
 1.796   0.17659   0.00530  180.
 1.798   0.17594   0.00528  180.
 1.800   0.17526   0.00526  180.
 1.802   0.17450   0.00523  232.
 1.804   0.17391   0.00522  232.
 1.806   0.17342   0.00520  232.
 1.808   0.17279   0.00518  232.
 1.810   0.17171   0.00515  233.
 1.812   0.16988   0.00510  233.
 1.814   0.16730   0.00502  233.
 1.816   0.16460   0.00494  233.
 1.818   0.16291   0.00489  233.
 1.820   0.16288   0.00489  233.
 1.822   0.16401   0.00492  233.
 1.824   0.16533   0.00496  233.
 1.826   0.16612   0.00498  233.
 1.828   0.16625   0.00499  233.
 1.830   0.16592   0.00498  233.
 1.832   0.16538   0.00496  233.
 1.834   0.16475   0.00494  233.
 1.836   0.16404   0.00492  233.
 1.838   0.16322   0.00490  233.
 1.840   0.16227   0.00487  233.
 1.842   0.16127   0.00484  233.
 1.844   0.16037   0.00481  233.
 1.846   0.15976   0.00479  233.
 1.848   0.15956   0.00479  233.
 1.850   0.15961   0.00479  233.
 1.852   0.15954   0.00479  233.
 1.854   0.15917   0.00477  233.
 1.856   0.15854   0.00476  233.
 1.858   0.15779   0.00473  233.
 1.860   0.15697   0.00471  233.
 1.862   0.15614   0.00468  233.
 1.864   0.15529   0.00466  233.
 1.866   0.15437   0.00463  233.
 1.868   0.15312   0.00459  233.
 1.870   0.15111   0.00453  233.
 1.872   0.14827   0.00445  233.
 1.874   0.14558   0.00437  234.
 1.876   0.14451   0.00434  234.
 1.878   0.14553   0.00437  234.
 1.880   0.14755   0.00443  234.
 1.882   0.14914   0.00447  234.
 1.884   0.14972   0.00449  234.
 1.886   0.14946   0.00448  234.
 1.888   0.14871   0.00446  234.
 1.890   0.14764   0.00443  234.
 1.892   0.14645   0.00439  234.
 1.894   0.14544   0.00436  234.
 1.896   0.14485   0.00435  234.
 1.898   0.14472   0.00434  234.
 1.900   0.14479   0.00434  234.
 1.902   0.14474   0.00434  234.
 1.904   0.14442   0.00433  234.
